uni,t,n,value
ssp1,12,grc,9.42
ssp1,12,hun,7.55
ssp1,12,idn,292.78
ssp1,12,irl,5.4
ssp1,12,ita,48.76
ssp1,12,jpn,90.73
ssp1,12,meme,72.57
ssp1,12,mex,137.33
ssp1,12,mys,45.63
ssp1,12,nde,1575.79
ssp1,12,nld,17.35
ssp1,12,noan,51.49
ssp1,12,noap,62.66
ssp1,12,nor,6.37
ssp1,12,oeu,14.879999999999999
ssp1,12,osea,259.47999999999996
ssp1,12,pol,29.09
ssp1,12,prt,7.58
ssp1,12,rcam,94.35000000000001
ssp1,12,rcz,8.81
ssp1,12,rfa,75.89
ssp1,12,ris,113.38999999999999
ssp1,12,rjan57,24.03
ssp1,12,rom,11.9
ssp1,12,rsaf,1727.0600000000004
ssp1,12,rsam,171.94
ssp1,12,rsas,615.24
ssp1,12,rsl,4.34
ssp1,12,rus,128.26
ssp1,12,slo,1.95
ssp1,12,sui,10.05
ssp1,12,swe,12.13
ssp1,12,tha,59.01
ssp1,12,tur,91.5
ssp1,12,ukr,32.14
ssp1,12,usa,382.21
ssp1,12,vnm,95.09
ssp1,12,zaf,69.67
ssp1,13,arg,53.68
ssp1,13,aus,34.76
ssp1,13,aut,8.98
ssp1,13,bel,12.04
ssp1,13,bgr,3.75
ssp1,13,blt,4.35
ssp1,13,bra,202.24
ssp1,13,can,46.43
ssp1,13,chl,19.01
ssp1,13,chn,1043.9
ssp1,13,cor,38.31
ssp1,13,cro,2.93
ssp1,13,dnk,6.13
ssp1,13,egy,157.08
ssp1,13,esp,44.28
ssp1,13,fin,5.18
ssp1,13,fra,72.1
ssp1,13,gbr,70.77
ssp1,13,golf57,285.69
ssp1,13,grc,9.23
ssp1,13,hun,7.28
ssp1,13,idn,287.32
ssp1,13,irl,5.34
ssp1,13,ita,47.39
ssp1,13,jpn,86.73
ssp1,13,meme,72.44
ssp1,13,mex,134.39
ssp1,13,mys,45.8
ssp1,13,nde,1551.59
ssp1,13,nld,17.23
ssp1,13,noan,50.16
ssp1,13,noap,61.86
ssp1,13,nor,6.41
ssp1,13,oeu,14.209999999999999
ssp1,13,osea,254.66000000000003
ssp1,13,pol,27.75
ssp1,13,prt,7.27
ssp1,13,rcam,91.40000000000002
ssp1,13,rcz,8.54
ssp1,13,rfa,75.3
ssp1,13,ris,111.15
ssp1,13,rjan57,23.75
ssp1,13,rom,11.08
ssp1,13,rsaf,1724.83
ssp1,13,rsam,168.95
ssp1,13,rsas,606.62
ssp1,13,rsl,4.15
ssp1,13,rus,126.83
ssp1,13,slo,1.92
ssp1,13,sui,10.11
ssp1,13,swe,12.24
ssp1,13,tha,57.04
ssp1,13,tur,90.02
ssp1,13,ukr,31.36
ssp1,13,usa,385.17
ssp1,13,vnm,92.12
ssp1,13,zaf,68.86
ssp1,14,arg,53.33
ssp1,14,aus,35.26
ssp1,14,aut,8.96
ssp1,14,bel,12.03
ssp1,14,bgr,3.51
ssp1,14,blt,4.24
ssp1,14,bra,196.08
ssp1,14,can,46.97
ssp1,14,chl,18.6
ssp1,14,chn,992.28
ssp1,14,cor,36.34
ssp1,14,cro,2.85
ssp1,14,dnk,6.13
ssp1,14,egy,157.04
ssp1,14,esp,43.57
ssp1,14,fin,5.14
ssp1,14,fra,72.06
ssp1,14,gbr,70.57
ssp1,14,golf57,281.76000000000005
ssp1,14,grc,9.05
ssp1,14,hun,7.02
ssp1,14,idn,281.11
ssp1,14,irl,5.27
ssp1,14,ita,46.2
ssp1,14,jpn,82.74
ssp1,14,meme,71.96000000000001
ssp1,14,mex,130.98
ssp1,14,mys,45.77
ssp1,14,nde,1520.99
ssp1,14,nld,17.13
ssp1,14,noan,48.68
ssp1,14,noap,60.89
ssp1,14,nor,6.45
ssp1,14,oeu,13.55
ssp1,14,osea,248.85999999999999
ssp1,14,pol,26.38
ssp1,14,prt,6.98
ssp1,14,rcam,88.10000000000001
ssp1,14,rcz,8.28
ssp1,14,rfa,74.92
ssp1,14,ris,108.53999999999999
ssp1,14,rjan57,23.38
ssp1,14,rom,10.3
ssp1,14,rsaf,1711.35
ssp1,14,rsam,165.35999999999999
ssp1,14,rsas,594.8700000000001
ssp1,14,rsl,3.96
ssp1,14,rus,125.53
ssp1,14,slo,1.9
ssp1,14,sui,10.19
ssp1,14,swe,12.35
ssp1,14,tha,55.16
ssp1,14,tur,88.29
ssp1,14,ukr,30.63
ssp1,14,usa,387.62
ssp1,14,vnm,88.95
ssp1,14,zaf,67.81
ssp1,15,arg,52.84
ssp1,15,aus,35.7
ssp1,15,aut,8.94
ssp1,15,bel,12.0
ssp1,15,bgr,3.29
ssp1,15,blt,4.13
ssp1,15,bra,189.48
ssp1,15,can,47.4
ssp1,15,chl,18.16
ssp1,15,chn,940.77
ssp1,15,cor,34.45
ssp1,15,cro,2.78
ssp1,15,dnk,6.13
ssp1,15,egy,156.35
ssp1,15,esp,42.97
ssp1,15,fin,5.08
ssp1,15,fra,71.98
ssp1,15,gbr,70.26
ssp1,15,golf57,276.78999999999996
ssp1,15,grc,8.88
ssp1,15,hun,6.77
ssp1,15,idn,274.23
ssp1,15,irl,5.19
ssp1,15,ita,45.21
ssp1,15,jpn,79.02
ssp1,15,meme,71.17
ssp1,15,mex,127.19
ssp1,15,mys,45.55
ssp1,15,nde,1484.94
ssp1,15,nld,17.04
ssp1,15,noan,47.07
ssp1,15,noap,59.739999999999995
ssp1,15,nor,6.49
ssp1,15,oeu,12.93
ssp1,15,osea,242.14
ssp1,15,pol,25.0
ssp1,15,prt,6.72
ssp1,15,rcam,84.61000000000001
ssp1,15,rcz,8.03
ssp1,15,rfa,74.52
ssp1,15,ris,105.53999999999999
ssp1,15,rjan57,22.92
ssp1,15,rom,9.57
ssp1,15,rsaf,1686.07
ssp1,15,rsam,161.23000000000002
ssp1,15,rsas,580.12
ssp1,15,rsl,3.78
ssp1,15,rus,124.39
ssp1,15,slo,1.87
ssp1,15,sui,10.11
ssp1,15,swe,12.46
ssp1,15,tha,53.33
ssp1,15,tur,86.35
ssp1,15,ukr,29.96
ssp1,15,usa,389.22
ssp1,15,vnm,85.61
ssp1,15,zaf,66.56
ssp1,16,arg,52.24
ssp1,16,aus,36.01
ssp1,16,aut,8.9
ssp1,16,bel,11.96
ssp1,16,bgr,3.09
ssp1,16,blt,4.03
ssp1,16,bra,182.62
ssp1,16,can,47.69
ssp1,16,chl,17.68
ssp1,16,chn,889.44
ssp1,16,cor,32.65
ssp1,16,cro,2.7
ssp1,16,dnk,6.11
ssp1,16,egy,155.11
ssp1,16,esp,42.54
ssp1,16,fin,5.01
ssp1,16,fra,71.79
ssp1,16,gbr,69.78
ssp1,16,golf57,271.01
ssp1,16,grc,8.73
ssp1,16,hun,6.55
ssp1,16,idn,266.72
ssp1,16,irl,5.13
ssp1,16,ita,44.38
ssp1,16,jpn,75.64
ssp1,16,meme,70.07000000000001
ssp1,16,mex,123.09
ssp1,16,mys,45.17
ssp1,16,nde,1444.51
ssp1,16,nld,16.91
ssp1,16,noan,45.34
ssp1,16,noap,58.43
ssp1,16,nor,6.5
ssp1,16,oeu,12.3
ssp1,16,osea,234.54
ssp1,16,pol,23.67
ssp1,16,prt,6.5
ssp1,16,rcam,80.78
ssp1,16,rcz,7.81
ssp1,16,rfa,73.97
ssp1,16,ris,102.36000000000001
ssp1,16,rjan57,22.310000000000002
ssp1,16,rom,8.89
ssp1,16,rsaf,1649.0899999999997
ssp1,16,rsam,156.65999999999997
ssp1,16,rsas,562.6199999999999
ssp1,16,rsl,3.6
ssp1,16,rus,123.45
ssp1,16,slo,1.85
ssp1,16,sui,9.93
ssp1,16,swe,12.53
ssp1,16,tha,51.52
ssp1,16,tur,84.22
ssp1,16,ukr,29.37
ssp1,16,usa,389.74
ssp1,16,vnm,82.12
ssp1,16,zaf,65.11
ssp1,17,arg,51.52
ssp1,17,aus,36.19
ssp1,17,aut,8.84
ssp1,17,bel,11.89
ssp1,17,bgr,2.91
ssp1,17,blt,3.92
ssp1,17,bra,175.72
ssp1,17,can,47.72
ssp1,17,chl,17.17
ssp1,17,chn,840.45
ssp1,17,cor,30.93
ssp1,17,cro,2.63
ssp1,17,dnk,6.08
ssp1,17,egy,153.41
ssp1,17,esp,42.15
ssp1,17,fin,4.94
ssp1,17,fra,71.5
ssp1,17,gbr,69.17
ssp1,17,golf57,264.86
ssp1,17,grc,8.6
ssp1,17,hun,6.33
ssp1,17,idn,258.65
ssp1,17,irl,5.07
ssp1,17,ita,43.63
ssp1,17,jpn,72.51
ssp1,17,meme,68.66
ssp1,17,mex,118.67
ssp1,17,mys,44.67
ssp1,17,nde,1400.39
ssp1,17,nld,16.74
ssp1,17,noan,43.51
ssp1,17,noap,57.0
ssp1,17,nor,6.46
ssp1,17,oeu,11.73
ssp1,17,osea,226.20999999999998
ssp1,17,pol,22.44
ssp1,17,prt,6.31
ssp1,17,rcam,76.79000000000002
ssp1,17,rcz,7.6
ssp1,17,rfa,73.24
ssp1,17,ris,99.13000000000001
ssp1,17,rjan57,21.57
ssp1,17,rom,8.27
ssp1,17,rsaf,1601.5400000000004
ssp1,17,rsam,151.77999999999997
ssp1,17,rsas,542.8599999999999
ssp1,17,rsl,3.44
ssp1,17,rus,122.78
ssp1,17,slo,1.83
ssp1,17,sui,9.74
ssp1,17,swe,12.49
ssp1,17,tha,49.72
ssp1,17,tur,81.94
ssp1,17,ukr,28.88
ssp1,17,usa,389.24
ssp1,17,vnm,78.58
ssp1,17,zaf,63.54
ssp1,18,arg,50.7
ssp1,18,aus,36.08
ssp1,18,aut,8.75
ssp1,18,bel,11.76
ssp1,18,bgr,2.75
ssp1,18,blt,3.8200000000000003
ssp1,18,bra,168.87
ssp1,18,can,47.33
ssp1,18,chl,16.65
ssp1,18,chn,795.65
ssp1,18,cor,29.28
ssp1,18,cro,2.57
ssp1,18,dnk,6.03
ssp1,18,egy,151.22
ssp1,18,esp,41.55
ssp1,18,fin,4.86
ssp1,18,fra,71.1
ssp1,18,gbr,68.51
ssp1,18,golf57,258.55
ssp1,18,grc,8.49
ssp1,18,hun,6.13
ssp1,18,idn,250.08
ssp1,18,irl,4.99
ssp1,18,ita,42.89
ssp1,18,jpn,69.57
ssp1,18,meme,66.99000000000001
ssp1,18,mex,114.0
ssp1,18,mys,44.09
ssp1,18,nde,1353.05
ssp1,18,nld,16.41
ssp1,18,noan,41.629999999999995
ssp1,18,noap,55.480000000000004
ssp1,18,nor,6.39
ssp1,18,oeu,11.17
ssp1,18,osea,217.36999999999998
ssp1,18,pol,21.33
ssp1,18,prt,6.13
ssp1,18,rcam,72.63000000000001
ssp1,18,rcz,7.42
ssp1,18,rfa,72.46
ssp1,18,ris,95.92
ssp1,18,rjan57,20.709999999999997
ssp1,18,rom,7.69
ssp1,18,rsaf,1545.760000000001
ssp1,18,rsam,146.65
ssp1,18,rsas,521.0799999999999
ssp1,18,rsl,3.29
ssp1,18,rus,122.3
ssp1,18,slo,1.81
ssp1,18,sui,9.55
ssp1,18,swe,12.33
ssp1,18,tha,47.94
ssp1,18,tur,79.54
ssp1,18,ukr,28.46
ssp1,18,usa,387.94
ssp1,18,vnm,75.15
ssp1,18,zaf,61.88
ssp1,19,arg,50.094588391763274
ssp1,19,aus,36.31442579018126
ssp1,19,aut,8.703378768629102
ssp1,19,bel,11.70867711427681
ssp1,19,bgr,2.5944982357639397
ssp1,19,blt,3.7277181222407707
ssp1,19,bra,162.9351522729819
ssp1,19,can,47.48152022724641
ssp1,19,chl,16.21280927690765
ssp1,19,chn,754.2128294996609
ssp1,19,cor,27.820638778942534
ssp1,19,cro,2.503218879045771
ssp1,19,dnk,6.006589603733071
ssp1,19,egy,149.86291062130545
ssp1,19,esp,41.1715573788359
ssp1,19,fin,4.795935447918561
ssp1,19,fra,70.87441072527834
ssp1,19,gbr,68.00317246150183
ssp1,19,golf57,253.29937633334555
ssp1,19,grc,8.361822716683742
ssp1,19,hun,5.937578743914215
ssp1,19,idn,243.2325440074757
ssp1,19,irl,4.934876032712751
ssp1,19,ita,42.171680948540235
ssp1,19,jpn,66.7890444805027
ssp1,19,meme,65.97590398290495
ssp1,19,mex,110.30981743040444
ssp1,19,mys,43.683424746562686
ssp1,19,nde,1315.919525701492
ssp1,19,nld,16.27215909772666
ssp1,19,noan,40.10673936735206
ssp1,19,noap,54.25722891195934
ssp1,19,nor,6.375953317080241
ssp1,19,oeu,10.70466048827016
ssp1,19,osea,210.56824021666637
ssp1,19,pol,20.26449537419467
ssp1,19,prt,5.949552917946723
