t,n,value
10,nde,0.3203448118942408
10,nld,0.8813976482310427
10,noan,0.3804037452099014
10,noap,0.3717751920781812
10,nor,1.1787019947612325
10,oeu,0.5592409097149621
10,osea,0.7493429408658779
10,pol,0.4611645013626862
10,prt,0.6487375175028224
10,rcam,0.64161782575116
10,rcz,0.5315198847837564
10,rfa,0.8392891192769426
10,ris,0.3337645417675484
10,rjan57,0.9578590147768516
10,rom,0.39816672633711286
10,rsaf,0.39872076456067007
10,rsam,0.6394360254912552
10,rsas,0.3322472739588765
10,rsl,0.5819636024661538
10,rus,0.4134902850051763
10,slo,0.6424956692978083
10,sui,1.2061907703765136
10,swe,1.0354884905230555
10,tha,0.3784558563127214
10,tur,0.3793700830569337
10,ukr,0.22244530174037472
10,usa,1.0
10,vnm,0.3305905103580242
10,zaf,0.48274238286760734
11,arg,0.6192723186669625
11,aus,1.114377404027453
11,aut,0.8733505209459722
11,bel,0.8740548277031729
11,bgr,0.3896747522951155
11,blt,0.5358888577116262
11,bra,0.6835736479534811
11,can,0.9340245924373557
11,chl,0.6129295375795774
11,chn,0.6190168650861306
11,cor,0.7719442508593674
11,cro,0.5019240757870589
11,dnk,1.0407072347578705
11,egy,0.22191596419914877
11,esp,0.7108866726490095
11,fin,0.9732471376056738
11,fra,0.8678287559695201
11,gbr,0.8810794219478477
11,golf57,0.47811613127876906
11,grc,0.6480084191477684
11,hun,0.4956997036317266
11,idn,0.35092421940954294
11,irl,0.8952076951262309
11,ita,0.7774363364141855
11,jpn,0.9370198527493715
11,meme,0.9015092161659254
11,mex,0.4709561725622803
11,mys,0.38479837791585436
11,nde,0.3203448118942408
11,nld,0.8813976482310427
11,noan,0.3804037452099014
11,noap,0.3717751920781812
11,nor,1.1787019947612325
11,oeu,0.5592409097149621
11,osea,0.7493429408658779
11,pol,0.4611645013626862
11,prt,0.6487375175028224
11,rcam,0.64161782575116
11,rcz,0.5315198847837564
11,rfa,0.8392891192769426
11,ris,0.3337645417675484
11,rjan57,0.9578590147768516
11,rom,0.39816672633711286
11,rsaf,0.39872076456067007
11,rsam,0.6394360254912552
11,rsas,0.3322472739588765
11,rsl,0.5819636024661538
11,rus,0.4134902850051763
11,slo,0.6424956692978083
11,sui,1.2061907703765136
11,swe,1.0354884905230555
11,tha,0.3784558563127214
11,tur,0.3793700830569337
11,ukr,0.22244530174037472
11,usa,1.0
11,vnm,0.3305905103580242
11,zaf,0.48274238286760734
12,arg,0.6192723186669625
12,aus,1.114377404027453
12,aut,0.8733505209459722
12,bel,0.8740548277031729
12,bgr,0.3896747522951155
12,blt,0.5358888577116262
12,bra,0.6835736479534811
12,can,0.9340245924373557
12,chl,0.6129295375795774
12,chn,0.6190168650861306
12,cor,0.7719442508593674
12,cro,0.5019240757870589
12,dnk,1.0407072347578705
12,egy,0.22191596419914877
12,esp,0.7108866726490095
12,fin,0.9732471376056738
12,fra,0.8678287559695201
12,gbr,0.8810794219478477
12,golf57,0.47811613127876906
12,grc,0.6480084191477684
12,hun,0.4956997036317266
12,idn,0.35092421940954294
12,irl,0.8952076951262309
12,ita,0.7774363364141855
12,jpn,0.9370198527493715
12,meme,0.9015092161659254
12,mex,0.4709561725622803
12,mys,0.38479837791585436
12,nde,0.3203448118942408
12,nld,0.8813976482310427
12,noan,0.3804037452099014
12,noap,0.3717751920781812
12,nor,1.1787019947612325
12,oeu,0.5592409097149621
12,osea,0.7493429408658779
12,pol,0.4611645013626862
12,prt,0.6487375175028224
12,rcam,0.64161782575116
12,rcz,0.5315198847837564
12,rfa,0.8392891192769426
12,ris,0.3337645417675484
12,rjan57,0.9578590147768516
12,rom,0.39816672633711286
12,rsaf,0.39872076456067007
12,rsam,0.6394360254912552
12,rsas,0.3322472739588765
12,rsl,0.5819636024661538
12,rus,0.4134902850051763
12,slo,0.6424956692978083
12,sui,1.2061907703765136
12,swe,1.0354884905230555
12,tha,0.3784558563127214
12,tur,0.3793700830569337
12,ukr,0.22244530174037472
12,usa,1.0
12,vnm,0.3305905103580242
12,zaf,0.48274238286760734
13,arg,0.6192723186669625
13,aus,1.114377404027453
13,aut,0.8733505209459722
13,bel,0.8740548277031729
13,bgr,0.3896747522951155
13,blt,0.5358888577116262
13,bra,0.6835736479534811
13,can,0.9340245924373557
13,chl,0.6129295375795774
13,chn,0.6190168650861306
13,cor,0.7719442508593674
13,cro,0.5019240757870589
13,dnk,1.0407072347578705
13,egy,0.22191596419914877
13,esp,0.7108866726490095
13,fin,0.9732471376056738
13,fra,0.8678287559695201
13,gbr,0.8810794219478477
13,golf57,0.47811613127876906
13,grc,0.6480084191477684
13,hun,0.4956997036317266
13,idn,0.35092421940954294
13,irl,0.8952076951262309
13,ita,0.7774363364141855
13,jpn,0.9370198527493715
13,meme,0.9015092161659254
13,mex,0.4709561725622803
13,mys,0.38479837791585436
13,nde,0.3203448118942408
13,nld,0.8813976482310427
13,noan,0.3804037452099014
13,noap,0.3717751920781812
13,nor,1.1787019947612325
13,oeu,0.5592409097149621
13,osea,0.7493429408658779
13,pol,0.4611645013626862
13,prt,0.6487375175028224
13,rcam,0.64161782575116
13,rcz,0.5315198847837564
13,rfa,0.8392891192769426
13,ris,0.3337645417675484
13,rjan57,0.9578590147768516
13,rom,0.39816672633711286
13,rsaf,0.39872076456067007
13,rsam,0.6394360254912552
13,rsas,0.3322472739588765
13,rsl,0.5819636024661538
13,rus,0.4134902850051763
13,slo,0.6424956692978083
13,sui,1.2061907703765136
13,swe,1.0354884905230555
13,tha,0.3784558563127214
13,tur,0.3793700830569337
13,ukr,0.22244530174037472
13,usa,1.0
13,vnm,0.3305905103580242
13,zaf,0.48274238286760734
14,arg,0.6192723186669625
14,aus,1.114377404027453
14,aut,0.8733505209459722
14,bel,0.8740548277031729
14,bgr,0.3896747522951155
14,blt,0.5358888577116262
14,bra,0.6835736479534811
14,can,0.9340245924373557
14,chl,0.6129295375795774
14,chn,0.6190168650861306
14,cor,0.7719442508593674
14,cro,0.5019240757870589
14,dnk,1.0407072347578705
14,egy,0.22191596419914877
14,esp,0.7108866726490095
14,fin,0.9732471376056738
14,fra,0.8678287559695201
14,gbr,0.8810794219478477
14,golf57,0.47811613127876906
14,grc,0.6480084191477684
14,hun,0.4956997036317266
14,idn,0.35092421940954294
14,irl,0.8952076951262309
14,ita,0.7774363364141855
14,jpn,0.9370198527493715
14,meme,0.9015092161659254
14,mex,0.4709561725622803
14,mys,0.38479837791585436
14,nde,0.3203448118942408
14,nld,0.8813976482310427
14,noan,0.3804037452099014
14,noap,0.3717751920781812
14,nor,1.1787019947612325
14,oeu,0.5592409097149621
14,osea,0.7493429408658779
14,pol,0.4611645013626862
14,prt,0.6487375175028224
14,rcam,0.64161782575116
14,rcz,0.5315198847837564
14,rfa,0.8392891192769426
14,ris,0.3337645417675484
14,rjan57,0.9578590147768516
14,rom,0.39816672633711286
14,rsaf,0.39872076456067007
14,rsam,0.6394360254912552
14,rsas,0.3322472739588765
14,rsl,0.5819636024661538
14,rus,0.4134902850051763
14,slo,0.6424956692978083
14,sui,1.2061907703765136
14,swe,1.0354884905230555
14,tha,0.3784558563127214
14,tur,0.3793700830569337
14,ukr,0.22244530174037472
14,usa,1.0
14,vnm,0.3305905103580242
14,zaf,0.48274238286760734
15,arg,0.6192723186669625
15,aus,1.114377404027453
15,aut,0.8733505209459722
15,bel,0.8740548277031729
15,bgr,0.3896747522951155
15,blt,0.5358888577116262
15,bra,0.6835736479534811
15,can,0.9340245924373557
15,chl,0.6129295375795774
15,chn,0.6190168650861306
15,cor,0.7719442508593674
15,cro,0.5019240757870589
15,dnk,1.0407072347578705
15,egy,0.22191596419914877
15,esp,0.7108866726490095
15,fin,0.9732471376056738
15,fra,0.8678287559695201
15,gbr,0.8810794219478477
15,golf57,0.47811613127876906
15,grc,0.6480084191477684
15,hun,0.4956997036317266
15,idn,0.35092421940954294
15,irl,0.8952076951262309
15,ita,0.7774363364141855
15,jpn,0.9370198527493715
15,meme,0.9015092161659254
15,mex,0.4709561725622803
15,mys,0.38479837791585436
15,nde,0.3203448118942408
15,nld,0.8813976482310427
15,noan,0.3804037452099014
15,noap,0.3717751920781812
15,nor,1.1787019947612325
15,oeu,0.5592409097149621
15,osea,0.7493429408658779
15,pol,0.4611645013626862
15,prt,0.6487375175028224
15,rcam,0.64161782575116
15,rcz,0.5315198847837564
15,rfa,0.8392891192769426
15,ris,0.3337645417675484
15,rjan57,0.9578590147768516
15,rom,0.39816672633711286
15,rsaf,0.39872076456067007
15,rsam,0.6394360254912552
15,rsas,0.3322472739588765
15,rsl,0.5819636024661538
15,rus,0.4134902850051763
15,slo,0.6424956692978083
15,sui,1.2061907703765136
15,swe,1.0354884905230555
15,tha,0.3784558563127214
15,tur,0.3793700830569337
15,ukr,0.22244530174037472
15,usa,1.0
15,vnm,0.3305905103580242
15,zaf,0.48274238286760734
16,arg,0.6192723186669625
16,aus,1.114377404027453
16,aut,0.8733505209459722
16,bel,0.8740548277031729
16,bgr,0.3896747522951155
16,blt,0.5358888577116262
16,bra,0.6835736479534811
16,can,0.9340245924373557
16,chl,0.6129295375795774
16,chn,0.6190168650861306
16,cor,0.7719442508593674
16,cro,0.5019240757870589
16,dnk,1.0407072347578705
16,egy,0.22191596419914877
16,esp,0.7108866726490095
16,fin,0.9732471376056738
16,fra,0.8678287559695201
16,gbr,0.8810794219478477
16,golf57,0.47811613127876906
16,grc,0.6480084191477684
16,hun,0.4956997036317266
16,idn,0.35092421940954294
16,irl,0.8952076951262309
16,ita,0.7774363364141855
16,jpn,0.9370198527493715
16,meme,0.9015092161659254
16,mex,0.4709561725622803
16,mys,0.38479837791585436
16,nde,0.3203448118942408
16,nld,0.8813976482310427
16,noan,0.3804037452099014
16,noap,0.3717751920781812
16,nor,1.1787019947612325
16,oeu,0.5592409097149621
16,osea,0.7493429408658779
16,pol,0.4611645013626862
16,prt,0.6487375175028224
16,rcam,0.64161782575116
16,rcz,0.5315198847837564
16,rfa,0.8392891192769426
16,ris,0.3337645417675484
16,rjan57,0.9578590147768516
16,rom,0.39816672633711286
16,rsaf,0.39872076456067007
16,rsam,0.6394360254912552
16,rsas,0.3322472739588765
16,rsl,0.5819636024661538
16,rus,0.4134902850051763
16,slo,0.6424956692978083
16,sui,1.2061907703765136
16,swe,1.0354884905230555
16,tha,0.3784558563127214
16,tur,0.3793700830569337
16,ukr,0.22244530174037472
16,usa,1.0
16,vnm,0.3305905103580242
16,zaf,0.48274238286760734
17,arg,0.6192723186669625
17,aus,1.114377404027453
17,aut,0.8733505209459722
17,bel,0.8740548277031729
17,bgr,0.3896747522951155
17,blt,0.5358888577116262
17,bra,0.6835736479534811
17,can,0.9340245924373557
17,chl,0.6129295375795774
17,chn,0.6190168650861306
17,cor,0.7719442508593674
17,cro,0.5019240757870589
17,dnk,1.0407072347578705
17,egy,0.22191596419914877
17,esp,0.7108866726490095
17,fin,0.9732471376056738
17,fra,0.8678287559695201
17,gbr,0.8810794219478477
17,golf57,0.47811613127876906
17,grc,0.6480084191477684
17,hun,0.4956997036317266
17,idn,0.35092421940954294
17,irl,0.8952076951262309
17,ita,0.7774363364141855
17,jpn,0.9370198527493715
17,meme,0.9015092161659254
17,mex,0.4709561725622803
17,mys,0.38479837791585436
17,nde,0.3203448118942408
17,nld,0.8813976482310427
17,noan,0.3804037452099014
17,noap,0.3717751920781812
17,nor,1.1787019947612325
17,oeu,0.5592409097149621
17,osea,0.7493429408658779
17,pol,0.4611645013626862
17,prt,0.6487375175028224
17,rcam,0.64161782575116
17,rcz,0.5315198847837564
17,rfa,0.8392891192769426
17,ris,0.3337645417675484
17,rjan57,0.9578590147768516
17,rom,0.39816672633711286
17,rsaf,0.39872076456067007
17,rsam,0.6394360254912552
17,rsas,0.3322472739588765
17,rsl,0.5819636024661538
17,rus,0.4134902850051763
17,slo,0.6424956692978083
17,sui,1.2061907703765136
17,swe,1.0354884905230555
17,tha,0.3784558563127214
17,tur,0.3793700830569337
17,ukr,0.22244530174037472
17,usa,1.0
17,vnm,0.3305905103580242
17,zaf,0.48274238286760734
18,arg,0.6192723186669625
18,aus,1.114377404027453
18,aut,0.8733505209459722
18,bel,0.8740548277031729
18,bgr,0.3896747522951155
18,blt,0.5358888577116262
18,bra,0.6835736479534811
18,can,0.9340245924373557
18,chl,0.6129295375795774
18,chn,0.6190168650861306
18,cor,0.7719442508593674
18,cro,0.5019240757870589
18,dnk,1.0407072347578705
18,egy,0.22191596419914877
18,esp,0.7108866726490095
18,fin,0.9732471376056738
18,fra,0.8678287559695201
18,gbr,0.8810794219478477
18,golf57,0.47811613127876906
18,grc,0.6480084191477684
18,hun,0.4956997036317266
18,idn,0.35092421940954294
18,irl,0.8952076951262309
18,ita,0.7774363364141855
18,jpn,0.9370198527493715
18,meme,0.9015092161659254
18,mex,0.4709561725622803
18,mys,0.38479837791585436
18,nde,0.3203448118942408
18,nld,0.8813976482310427
18,noan,0.3804037452099014
18,noap,0.3717751920781812
18,nor,1.1787019947612325
18,oeu,0.5592409097149621
18,osea,0.7493429408658779
18,pol,0.4611645013626862
18,prt,0.6487375175028224
18,rcam,0.64161782575116
18,rcz,0.5315198847837564
18,rfa,0.8392891192769426
18,ris,0.3337645417675484
18,rjan57,0.9578590147768516
18,rom,0.39816672633711286
18,rsaf,0.39872076456067007
18,rsam,0.6394360254912552
18,rsas,0.3322472739588765
18,rsl,0.5819636024661538
18,rus,0.4134902850051763
18,slo,0.6424956692978083
18,sui,1.2061907703765136
18,swe,1.0354884905230555
18,tha,0.3784558563127214
18,tur,0.3793700830569337
18,ukr,0.22244530174037472
18,usa,1.0
18,vnm,0.3305905103580242
18,zaf,0.48274238286760734
19,arg,0.6192723186669625
19,aus,1.114377404027453
19,aut,0.8733505209459722
19,bel,0.8740548277031729
19,bgr,0.3896747522951155
19,blt,0.5358888577116262
19,bra,0.6835736479534811
19,can,0.9340245924373557
19,chl,0.6129295375795774
19,chn,0.6190168650861306
19,cor,0.7719442508593674
19,cro,0.5019240757870589
19,dnk,1.0407072347578705
19,egy,0.22191596419914877
19,esp,0.7108866726490095
19,fin,0.9732471376056738
19,fra,0.8678287559695201
19,gbr,0.8810794219478477
19,golf57,0.47811613127876906
19,grc,0.6480084191477684
19,hun,0.4956997036317266
19,idn,0.35092421940954294
19,irl,0.8952076951262309
19,ita,0.7774363364141855
19,jpn,0.9370198527493715
19,meme,0.9015092161659254
19,mex,0.4709561725622803
19,mys,0.38479837791585436
19,nde,0.3203448118942408
19,nld,0.8813976482310427
19,noan,0.3804037452099014
19,noap,0.3717751920781812
19,nor,1.1787019947612325
19,oeu,0.5592409097149621
19,osea,0.7493429408658779
19,pol,0.4611645013626862
19,prt,0.6487375175028224
19,rcam,0.64161782575116
19,rcz,0.5315198847837564
19,rfa,0.8392891192769426
19,ris,0.3337645417675484
19,rjan57,0.9578590147768516
19,rom,0.39816672633711286
19,rsaf,0.39872076456067007
19,rsam,0.6394360254912552
19,rsas,0.3322472739588765
19,rsl,0.5819636024661538
19,rus,0.4134902850051763
19,slo,0.6424956692978083
19,sui,1.2061907703765136
19,swe,1.0354884905230555
19,tha,0.3784558563127214
19,tur,0.3793700830569337
19,ukr,0.22244530174037472
19,usa,1.0
19,vnm,0.3305905103580242
19,zaf,0.48274238286760734
2,arg,0.6192723186669625
2,aus,1.114377404027453
2,aut,0.8733505209459722
2,bel,0.8740548277031729
2,bgr,0.3896747522951155
2,blt,0.5358888577116262
2,bra,0.6835736479534811
2,can,0.9340245924373557
2,chl,0.6129295375795774
2,chn,0.6190168650861306
2,cor,0.7719442508593674
2,cro,0.5019240757870589
2,dnk,1.0407072347578705
2,egy,0.22191596419914877
2,esp,0.7108866726490095
2,fin,0.9732471376056738
2,fra,0.8678287559695201
2,gbr,0.8810794219478477
2,golf57,0.47811613127876906
2,grc,0.6480084191477684
2,hun,0.4956997036317266
2,idn,0.35092421940954294
2,irl,0.8952076951262309
2,ita,0.7774363364141855
2,jpn,0.9370198527493715
2,meme,0.9015092161659254
2,mex,0.4709561725622803
2,mys,0.38479837791585436
2,nde,0.3203448118942408
2,nld,0.8813976482310427
2,noan,0.3804037452099014
2,noap,0.3717751920781812
2,nor,1.1787019947612325
2,oeu,0.5592409097149621
2,osea,0.7493429408658779
2,pol,0.4611645013626862
2,prt,0.6487375175028224
2,rcam,0.64161782575116
2,rcz,0.5315198847837564
2,rfa,0.8392891192769426
2,ris,0.3337645417675484
2,rjan57,0.9578590147768516
2,rom,0.39816672633711286
2,rsaf,0.39872076456067007
2,rsam,0.6394360254912552
2,rsas,0.3322472739588765
2,rsl,0.5819636024661538
2,rus,0.4134902850051763
2,slo,0.6424956692978083
2,sui,1.2061907703765136
2,swe,1.0354884905230555
2,tha,0.3784558563127214
2,tur,0.3793700830569337
2,ukr,0.22244530174037472
2,usa,1.0
2,vnm,0.3305905103580242
2,zaf,0.48274238286760734
20,arg,0.6192723186669625
20,aus,1.114377404027453
20,aut,0.8733505209459722
20,bel,0.8740548277031729
20,bgr,0.3896747522951155
20,blt,0.5358888577116262
20,bra,0.6835736479534811
20,can,0.9340245924373557
20,chl,0.6129295375795774
20,chn,0.6190168650861306
20,cor,0.7719442508593674
20,cro,0.5019240757870589
20,dnk,1.0407072347578705
20,egy,0.22191596419914877
20,esp,0.7108866726490095
20,fin,0.9732471376056738
20,fra,0.8678287559695201
20,gbr,0.8810794219478477
20,golf57,0.47811613127876906
20,grc,0.6480084191477684
20,hun,0.4956997036317266
20,idn,0.35092421940954294
20,irl,0.8952076951262309
20,ita,0.7774363364141855
20,jpn,0.9370198527493715
20,meme,0.9015092161659254
20,mex,0.4709561725622803
20,mys,0.38479837791585436
20,nde,0.3203448118942408
20,nld,0.8813976482310427
20,noan,0.3804037452099014
20,noap,0.3717751920781812
20,nor,1.1787019947612325
20,oeu,0.5592409097149621
20,osea,0.7493429408658779
20,pol,0.4611645013626862
20,prt,0.6487375175028224
20,rcam,0.64161782575116
20,rcz,0.5315198847837564
20,rfa,0.8392891192769426
20,ris,0.3337645417675484
20,rjan57,0.9578590147768516
20,rom,0.39816672633711286
20,rsaf,0.39872076456067007
20,rsam,0.6394360254912552
20,rsas,0.3322472739588765
20,rsl,0.5819636024661538
20,rus,0.4134902850051763
20,slo,0.6424956692978083
20,sui,1.2061907703765136
20,swe,1.0354884905230555
20,tha,0.3784558563127214
20,tur,0.3793700830569337
20,ukr,0.22244530174037472
20,usa,1.0
20,vnm,0.3305905103580242
20,zaf,0.48274238286760734
21,arg,0.6192723186669625
21,aus,1.114377404027453
21,aut,0.8733505209459722
21,bel,0.8740548277031729
21,bgr,0.3896747522951155
21,blt,0.5358888577116262
21,bra,0.6835736479534811
21,can,0.9340245924373557
21,chl,0.6129295375795774
21,chn,0.6190168650861306
21,cor,0.7719442508593674
21,cro,0.5019240757870589
21,dnk,1.0407072347578705
21,egy,0.22191596419914877
21,esp,0.7108866726490095
21,fin,0.9732471376056738
21,fra,0.8678287559695201
21,gbr,0.8810794219478477
21,golf57,0.47811613127876906
21,grc,0.6480084191477684
21,hun,0.4956997036317266
21,idn,0.35092421940954294
21,irl,0.8952076951262309
21,ita,0.7774363364141855
21,jpn,0.9370198527493715
21,meme,0.9015092161659254
21,mex,0.4709561725622803
21,mys,0.38479837791585436
21,nde,0.3203448118942408
21,nld,0.8813976482310427
21,noan,0.3804037452099014
21,noap,0.3717751920781812
21,nor,1.1787019947612325
21,oeu,0.5592409097149621
21,osea,0.7493429408658779
21,pol,0.4611645013626862
21,prt,0.6487375175028224
21,rcam,0.64161782575116
21,rcz,0.5315198847837564
21,rfa,0.8392891192769426
21,ris,0.3337645417675484
21,rjan57,0.9578590147768516
21,rom,0.39816672633711286
21,rsaf,0.39872076456067007
21,rsam,0.6394360254912552
21,rsas,0.3322472739588765
21,rsl,0.5819636024661538
21,rus,0.4134902850051763
21,slo,0.6424956692978083
21,sui,1.2061907703765136
21,swe,1.0354884905230555
21,tha,0.3784558563127214
21,tur,0.3793700830569337
21,ukr,0.22244530174037472
21,usa,1.0
21,vnm,0.3305905103580242
21,zaf,0.48274238286760734
22,arg,0.6192723186669625
22,aus,1.114377404027453
22,aut,0.8733505209459722
22,bel,0.8740548277031729
22,bgr,0.3896747522951155
22,blt,0.5358888577116262
22,bra,0.6835736479534811
22,can,0.9340245924373557
22,chl,0.6129295375795774
22,chn,0.6190168650861306
22,cor,0.7719442508593674
22,cro,0.5019240757870589
22,dnk,1.0407072347578705
22,egy,0.22191596419914877
22,esp,0.7108866726490095
22,fin,0.9732471376056738
22,fra,0.8678287559695201
22,gbr,0.8810794219478477
22,golf57,0.47811613127876906
22,grc,0.6480084191477684
22,hun,0.4956997036317266
22,idn,0.35092421940954294
22,irl,0.8952076951262309
22,ita,0.7774363364141855
22,jpn,0.9370198527493715
22,meme,0.9015092161659254
22,mex,0.4709561725622803
22,mys,0.38479837791585436
22,nde,0.3203448118942408
22,nld,0.8813976482310427
22,noan,0.3804037452099014
22,noap,0.3717751920781812
22,nor,1.1787019947612325
22,oeu,0.5592409097149621
22,osea,0.7493429408658779
22,pol,0.4611645013626862
22,prt,0.6487375175028224
22,rcam,0.64161782575116
22,rcz,0.5315198847837564
22,rfa,0.8392891192769426
22,ris,0.3337645417675484
22,rjan57,0.9578590147768516
22,rom,0.39816672633711286
22,rsaf,0.39872076456067007
22,rsam,0.6394360254912552
22,rsas,0.3322472739588765
22,rsl,0.5819636024661538
22,rus,0.4134902850051763
22,slo,0.6424956692978083
22,sui,1.2061907703765136
22,swe,1.0354884905230555
22,tha,0.3784558563127214
22,tur,0.3793700830569337
22,ukr,0.22244530174037472
22,usa,1.0
22,vnm,0.3305905103580242
22,zaf,0.48274238286760734
23,arg,0.6192723186669625
23,aus,1.114377404027453
23,aut,0.8733505209459722
23,bel,0.8740548277031729
23,bgr,0.3896747522951155
23,blt,0.5358888577116262
23,bra,0.6835736479534811
23,can,0.9340245924373557
23,chl,0.6129295375795774
23,chn,0.6190168650861306
23,cor,0.7719442508593674
23,cro,0.5019240757870589
23,dnk,1.0407072347578705
23,egy,0.22191596419914877
23,esp,0.7108866726490095
23,fin,0.9732471376056738
23,fra,0.8678287559695201
23,gbr,0.8810794219478477
23,golf57,0.47811613127876906
23,grc,0.6480084191477684
23,hun,0.4956997036317266
23,idn,0.35092421940954294
23,irl,0.8952076951262309
23,ita,0.7774363364141855
23,jpn,0.9370198527493715
23,meme,0.9015092161659254
23,mex,0.4709561725622803
23,mys,0.38479837791585436
23,nde,0.3203448118942408
23,nld,0.8813976482310427
23,noan,0.3804037452099014
23,noap,0.3717751920781812
23,nor,1.1787019947612325
23,oeu,0.5592409097149621
23,osea,0.7493429408658779
23,pol,0.4611645013626862
23,prt,0.6487375175028224
23,rcam,0.64161782575116
23,rcz,0.5315198847837564
23,rfa,0.8392891192769426
23,ris,0.3337645417675484
23,rjan57,0.9578590147768516
23,rom,0.39816672633711286
23,rsaf,0.39872076456067007
23,rsam,0.6394360254912552
23,rsas,0.3322472739588765
23,rsl,0.5819636024661538
23,rus,0.4134902850051763
23,slo,0.6424956692978083
23,sui,1.2061907703765136
23,swe,1.0354884905230555
23,tha,0.3784558563127214
23,tur,0.3793700830569337
23,ukr,0.22244530174037472
23,usa,1.0
23,vnm,0.3305905103580242
23,zaf,0.48274238286760734
24,arg,0.6192723186669625
24,aus,1.114377404027453
24,aut,0.8733505209459722
24,bel,0.8740548277031729
24,bgr,0.3896747522951155
24,blt,0.5358888577116262
24,bra,0.6835736479534811
24,can,0.9340245924373557
24,chl,0.6129295375795774
24,chn,0.6190168650861306
24,cor,0.7719442508593674
24,cro,0.5019240757870589
24,dnk,1.0407072347578705
24,egy,0.22191596419914877
24,esp,0.7108866726490095
24,fin,0.9732471376056738
24,fra,0.8678287559695201
24,gbr,0.8810794219478477
24,golf57,0.47811613127876906
24,grc,0.6480084191477684
24,hun,0.4956997036317266
24,idn,0.35092421940954294
24,irl,0.8952076951262309
24,ita,0.7774363364141855
24,jpn,0.9370198527493715
24,meme,0.9015092161659254
24,mex,0.4709561725622803
24,mys,0.38479837791585436
24,nde,0.3203448118942408
24,nld,0.8813976482310427
24,noan,0.3804037452099014
24,noap,0.3717751920781812
24,nor,1.1787019947612325
24,oeu,0.5592409097149621
24,osea,0.7493429408658779
24,pol,0.4611645013626862
24,prt,0.6487375175028224
24,rcam,0.64161782575116
24,rcz,0.5315198847837564
24,rfa,0.8392891192769426
24,ris,0.3337645417675484
24,rjan57,0.9578590147768516
24,rom,0.39816672633711286
24,rsaf,0.39872076456067007
24,rsam,0.6394360254912552
24,rsas,0.3322472739588765
24,rsl,0.5819636024661538
24,rus,0.4134902850051763
24,slo,0.6424956692978083
24,sui,1.2061907703765136
24,swe,1.0354884905230555
24,tha,0.3784558563127214
24,tur,0.3793700830569337
24,ukr,0.22244530174037472
24,usa,1.0
24,vnm,0.3305905103580242
24,zaf,0.48274238286760734
25,arg,0.6192723186669625
25,aus,1.114377404027453
25,aut,0.8733505209459722
25,bel,0.8740548277031729
25,bgr,0.3896747522951155
25,blt,0.5358888577116262
25,bra,0.6835736479534811
25,can,0.9340245924373557
25,chl,0.6129295375795774
25,chn,0.6190168650861306
25,cor,0.7719442508593674
25,cro,0.5019240757870589
25,dnk,1.0407072347578705
25,egy,0.22191596419914877
25,esp,0.7108866726490095
25,fin,0.9732471376056738
