"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Methane (CH4) emissions (total) excluding LULUCF (% change from 1990)","EN.GHG.CH4.ZG.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.56621004566211","9.1324200913242","15.0684931506849","21.4611872146119","26.4840182648402","28.310502283105","32.8767123287671","34.703196347032","36.0730593607306","290.41095890411","291.780821917808","293.150684931507","313.698630136986","347.488584474886","351.141552511416","215.068493150685","219.178082191781","201.369863013699","183.10502283105","131.963470319635","162.557077625571","64.8401826484018","51.1415525114155","53.8812785388128","53.8812785388128","54.7945205479452","55.7077625570776","57.5342465753425","57.9908675799087","58.4474885844749","59.8173515981735","60.2739726027397","",
"Africa Eastern and Southern","AFE","Methane (CH4) emissions (total) excluding LULUCF (% change from 1990)","EN.GHG.CH4.ZG.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.184181016564196","0.982442072598063","2.44627001195","7.8882090559339","12.0324162888681","15.7726022810607","19.6809804212946","23.3772037430613","26.384588987996","26.232170732094","27.8992319699979","30.7577729414063","33.122351927626","37.3448643082503","41.6471597992013","40.9352386331909","48.1182982791947","54.1212719400195","54.9760986569619","60.8610502832448","61.9225499208753","68.0815158199777","71.1375663437273","74.2885020687446","77.0357658896435","78.4096530845483","80.5899435660121","83.465064590998","88.5158003611066","90.8806211957578","92.7909282115927","94.9761900219249","",
"Afghanistan","AFG","Methane (CH4) emissions (total) excluding LULUCF (% change from 1990)","EN.GHG.CH4.ZG.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.81689771834097","3.68733411552962","6.20023465889026","10.6633100572978","15.9773087131352","29.1899711802431","39.3224509323704","46.7950835545126","56.3021859728661","40.7144565824097","24.9831979678084","50.9916046795084","56.1916912526912","57.9037898549899","56.1609349903744","57.7750692015902","63.9308781482452","77.7461355325959","83.9907959037215","105.70243885769","111.091619488079","106.64563090207","106.718534634969","112.983699180972","107.095583628555","106.695752218438","107.288095048242","113.358469932906","109.251939353207","107.848542494902","114.761866791211","115.534190711609","",
"Africa Western and Central","AFW","Methane (CH4) emissions (total) excluding LULUCF (% change from 1990)","EN.GHG.CH4.ZG.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.28183310350632","10.9319567644649","13.3687213283588","23.7278332470966","33.4001564639155","50.503308766188","44.9939593045278","41.1412520084074","39.3118682336165","49.9145266347632","51.7132117932201","36.9780306837622","48.8382801842907","49.6813471246042","49.4434019018288","46.1569169676699","42.4216504467391","43.4304961044941","42.1630331718355","48.8360211127258","55.4048751383295","60.1019491145677","58.6531105868139","63.1064833497142","66.6116030866964","65.8238060342587","70.1483188794015","74.3894317537575","80.104109158338","75.7263379273978","74.7310466990322","75.9364315829345","",
"Angola","AGO","Methane (CH4) emissions (total) excluding LULUCF (% change from 1990)","EN.GHG.CH4.ZG.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2.86591997557671","-9.60999065046079","8.6903012841306","65.0737468755367","93.2454349443798","131.60573565609","142.086759907649","162.165849377015","161.967887194947","146.017859527944","135.91272491366","132.548798870423","126.542673968212","153.739815680513","157.365147207541","119.931214104448","113.130378370127","122.410750062012","118.212043732947","142.890534068576","131.41302066439","137.106699231048","140.791657921349","138.174263962297","150.24900303383","145.44019157015","141.42227480013","130.568700032437","122.976492587151","117.156404434353","102.88929382358","94.0911866282509","",
"Albania","ALB","Methane (CH4) emissions (total) excluding LULUCF (% change from 1990)","EN.GHG.CH4.ZG.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.9337313753967","-19.7326663439298","-16.2901403905115","-5.22833629175408","-6.46280458286267","-11.4356409015115","-17.2180087138938","-20.4453767952235","-19.5820558334678","-18.59232962186","-19.3803453283847","-19.58743478027","-19.089882201065","-20.6659136141144","-21.7497713947609","-21.9434134796407","-24.7216395029853","-27.7392286590286","-30.1570652466247","-29.2534021838524","-30.0010757893604","-28.0807917809693","-26.082513043946","-24.0896132537249","-22.9035554838363","-24.116507987736","-24.1676079823571","-23.5570975203055","-29.1081706201926","-33.5592490990264","-34.0702490452369","-35.3934699585821","",
"Andorra","AND","Methane (CH4) emissions (total) excluding LULUCF (% change from 1990)","EN.GHG.CH4.ZG.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Methane (CH4) emissions (total) excluding LULUCF (% change from 1990)","EN.GHG.CH4.ZG.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-10.2489690458278","-7.1581376547018","-2.33483744947688","1.50819644901487","4.48024762037849","8.29013355056446","12.5830843173459","11.5038796302666","15.2425407592726","22.3156058504359","19.6810826025344","17.7312743317552","25.6439435177397","27.738241543612","32.0843626626051","35.6071467452974","34.8187089588523","38.9655992334803","38.7088108058044","44.7746181890268","46.4455393865929","55.0313867568089","54.9440032238024","55.0795560266563","57.2594501950873","65.1269471497532","66.8053248347431","69.5248664828363","71.4710638638218","63.4531914036991","69.0926610289844","75.8116422669816","",
"United Arab Emirates","ARE","Methane (CH4) emissions (total) excluding LULUCF (% change from 1990)","EN.GHG.CH4.ZG.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.01137153919891","9.13783057346389","22.4156532526361","19.9417326090634","26.4842208146157","34.4969268650264","30.0607108621694","25.1230193786065","25.5162302877657","32.6286111685431","35.6261864932428","30.1001823205458","37.7963648666429","37.5234479258688","44.5587654831494","51.5162678796308","52.1605924477943","53.1112907166889","51.1910982463395","59.303046820668","68.3401311956093","75.7682837433979","81.187527019153","79.4778489934778","95.0348664548991","100.559366952991","87.2826720297728","80.6492115106291","92.270736612597","87.4262729545326","88.5062872394414","96.4817773433829","",
"Argentina","ARG","Methane (CH4) emissions (total) excluding LULUCF (% change from 1990)","EN.GHG.CH4.ZG.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.878847561302154","0.363112203307137","-0.343327720292042","0.677283843366383","1.87186497759741","-0.49862847418497","0.00453704309744118","-1.62924473851758","2.15308727188344","2.57718923486114","2.84829615437252","6.59678628593188","13.2972551633038","15.7453989920326","14.7272418943122","16.873635168183","14.4060787452175","12.2204140163393","6.91683376869112","0.0310899018808541","-1.51373608392191","1.22448099202075","2.61393184617489","3.28764555726788","5.01834155455458","4.91562587393861","8.0674576493059","8.13149689696002","9.36854772969338","7.31780424964743","7.20906397082011","7.39240513861037","",
